Country Degree Closeness Betweenness
DZA 0.020833333333333332 0.1640625 0.0
EGY 0.010416666666666666 0.16857798165137616 0.0
PAK 0.010416666666666666 0.1331521739130435 0.0
JOR 0.010416666666666666 0.14468503937007876 0.0
LBR 0.0 0.0 0.0
LBY 0.020833333333333332 0.16261061946902655 0.008991228070175439
MYS 0.0 0.0 0.0
PRK 0.020833333333333332 0.18193069306930693 0.0013206627680311892
PRT 0.010416666666666666 0.1381578947368421 0.0
THA 0.010416666666666666 0.14026717557251908 0.0
HKG 0.0 0.0 0.0
LBN 0.010416666666666666 0.14468503937007876 0.0
BFA 0.0 0.0 0.0
CHE 0.010416666666666666 0.010416666666666666 0.0
MRT 0.0 0.0 0.0
HRV 0.0 0.0 0.0
CHL 0.0 0.0 0.0
CHN 0.0625 0.20416666666666666 0.013115775549986075
GIN 0.0 0.0 0.0
URY 0.010416666666666666 0.16857798165137616 0.0
VAT 0.05208333333333333 0.18943298969072164 0.007792397660818714
MAR 0.0 0.0 0.0
YEM 0.03125 0.17668269230769232 0.008991228070175439
PHL 0.010416666666666666 0.010416666666666666 0.0
ZAF 0.0 0.0 0.0
NIC 0.0 0.0 0.0
SYR 0.09375 0.2136627906976744 0.021580339738234474
KAZ 0.020833333333333332 0.1856060606060606 0.0
NGA 0.0 0.0 0.0
BEL 0.010416666666666666 0.11931818181818181 0.0
DEU 0.05208333333333333 0.18375 0.010742133110554164
LKA 0.0 0.0 0.0
GBR 0.05208333333333333 0.19140625 0.0018191311612364243
CRI 0.010416666666666666 0.16857798165137616 0.0
CMR 0.0 0.0 0.0
HUN 0.0 0.0 0.0
NLD 0.0 0.0 0.0
TCD 0.010416666666666666 0.11931818181818181 0.0
ROU 0.010416666666666666 0.16857798165137616 0.0
SWE 0.010416666666666666 0.15978260869565217 0.0
AFG 0.03125 0.18943298969072164 0.008991228070175439
BLR 0.0 0.0 0.0
GRC 0.041666666666666664 0.16261061946902655 0.011400027847396271
ZWE 0.0 0.0 0.0
MOZ 0.0 0.0 0.0
HTI 0.0 0.0 0.0
PSE 0.05208333333333333 0.19972826086956522 0.017763157894736842
IND 0.0 0.0 0.0
LVA 0.0 0.0 0.0
VNM 0.0 0.0 0.0
NOR 0.010416666666666666 0.13219424460431656 0.0
ISR 0.05208333333333333 0.21120689655172414 0.011930868838763577
PER 0.0 0.0 0.0
IDN 0.020833333333333332 0.17172897196261683 0.008991228070175439
COD 0.0 0.0 0.0
ETH 0.010416666666666666 0.1267241379310345 0.0
COL 0.0 0.0 0.0
MDG 0.0 0.0 0.0
SRB 0.010416666666666666 0.010416666666666666 0.0
FRA 0.15625 0.2483108108108108 0.06051639515455303
RWA 0.0 0.0 0.0
GMB 0.0 0.0 0.0
DNK 0.0 0.0 0.0
UKR 0.0625 0.20880681818181818 0.005335038986354775
AUS 0.010416666666666666 0.12940140845070422 0.0
CUB 0.03125 0.19140625 0.000719681147312726
KEN 0.0 0.0 0.0
TUR 0.010416666666666666 0.1303191489361702 0.0
ALB 0.0 0.0 0.0
MMR 0.0 0.0 0.0
TUN 0.0 0.0 0.0
RUS 0.07291666666666666 0.1875 0.016846282372598165
MEX 0.0 0.0 0.0
BRA 0.0 0.0 0.0
CAN 0.0 0.0 0.0
USA 0.20833333333333331 0.27022058823529416 0.10094420077972711
TWN 0.0 0.0 0.0
AZE 0.0 0.0 0.0
CIV 0.0 0.0 0.0
KOR 0.0 0.0 0.0
CAF 0.0 0.0 0.0
BIH 0.010416666666666666 0.010416666666666666 0.0
SGP 0.010416666666666666 0.1241554054054054 0.0
SOM 0.010416666666666666 0.16857798165137616 0.0
GAB 0.0 0.0 0.0
EST 0.0 0.0 0.0
ESP 0.0 0.0 0.0
IRQ 0.05208333333333333 0.16857798165137616 0.004171539961013646
MLI 0.010416666666666666 0.15978260869565217 0.0
IRL 0.010416666666666666 0.1381578947368421 0.0
IRN 0.041666666666666664 0.18193069306930693 0.010408312447786134
SSD 0.010416666666666666 0.010416666666666666 0.0
ITA 0.020833333333333332 0.14244186046511628 0.00074317738791423
JPN 0.0 0.0 0.0
SDN 0.010416666666666666 0.010416666666666666 0.0
BHR 0.0 0.0 0.0
UGA 0.0 0.0 0.0
