Country Degree Closeness Betweenness
DZA 0.010416666666666666 0.22936507936507938 0.0
QAT 0.03125 0.2833333333333334 0.00036549707602339174
EGY 0.03125 0.30485232067510554 0.002294712475633527
BGD 0.0 0.0 0.0
PAK 0.020833333333333332 0.30104166666666665 0.0014482118758434546
PAN 0.0 0.0 0.0
LBR 0.03125 0.3232662192393736 0.014692982456140351
LBY 0.07291666666666666 0.33449074074074076 0.03410192147034252
MYS 0.03125 0.2361111111111111 0.00014619883040935673
PRK 0.010416666666666666 0.21218795888399414 0.0
TZA 0.0 0.0 0.0
KHM 0.010416666666666666 0.2955010224948875 0.0
HKG 0.020833333333333332 0.2705992509363296 0.0
SAU 0.03125 0.22720125786163523 0.0008771929824561402
LBN 0.020833333333333332 0.24083333333333337 0.001282843618369934
CHE 0.0 0.0 0.0
CHL 0.010416666666666666 0.21033478893740906 0.0
CHN 0.4375 0.5017361111111112 0.3321546819408661
DJI 0.010416666666666666 0.2955010224948875 0.0
GIN 0.041666666666666664 0.3232662192393736 0.0038601712614870507
FIN 0.0 0.0 0.0
VAT 0.03125 0.3087606837606838 0.0006370091896407686
NPL 0.03125 0.3029350104821803 0.005424820062977959
LAO 0.010416666666666666 0.2955010224948875 0.0
PHL 0.03125 0.3254504504504505 0.0
ZAF 0.020833333333333332 0.24450084602368866 0.014692982456140351
NIC 0.0 0.0 0.0
SYR 0.10416666666666666 0.3515815085158151 0.024847658433184754
NGA 0.010416666666666666 0.22299382716049385 0.0
BEL 0.0 0.0 0.0
DEU 0.07291666666666666 0.29732510288065844 0.016661784852574323
LKA 0.010416666666666666 0.2955010224948875 0.0
GBR 0.125 0.3648989898989899 0.05510171298000248
ITA 0.010416666666666666 0.22827804107424962 0.0
CMR 0.0 0.0 0.0
LSO 0.010416666666666666 0.18244949494949494 0.0
HUN 0.020833333333333332 0.24828178694158076 3.654970760233918e-05
TKM 0.010416666666666666 0.2955010224948875 0.0
NLD 0.010416666666666666 0.23157051282051283 0.0
GEO 0.0 0.0 0.0
ROU 0.0 0.0 0.0
MNG 0.03125 0.30679405520169856 0.00011695906432748539
AFG 0.010416666666666666 0.2632058287795993 0.0
GRC 0.020833333333333332 0.3029350104821803 0.0
THA 0.010416666666666666 0.2955010224948875 0.0
HTI 0.0 0.0 0.0
PSE 0.0625 0.3392018779342723 0.017994030214424955
IND 0.05208333333333333 0.2752380952380952 0.004324874686716791
VNM 0.010416666666666666 0.2955010224948875 0.0
NOR 0.0 0.0 0.0
CZE 0.0 0.0 0.0
FJI 0.010416666666666666 0.2955010224948875 0.0
ISR 0.041666666666666664 0.2508680555555556 0.001104222896986055
PER 0.0 0.0 0.0
IDN 0.010416666666666666 0.2632058287795993 0.0
COG 0.0 0.0 0.0
ISL 0.0 0.0 0.0
ETH 0.010416666666666666 0.2955010224948875 0.0
NER 0.0 0.0 0.0
COL 0.0 0.0 0.0
ECU 0.010416666666666666 0.24204355108877723 0.0
SEN 0.0 0.0 0.0
MDV 0.010416666666666666 0.2955010224948875 0.0
FRA 0.05208333333333333 0.3211111111111111 0.00915876886271623
ZWE 0.010416666666666666 0.2955010224948875 0.0
AUS 0.07291666666666666 0.3416075650118203 0.024639423076923062
AUT 0.0 0.0 0.0
VEN 0.020833333333333332 0.23268921095008055 0.00023757309941520468
KEN 0.010416666666666666 0.2955010224948875 0.0
TUR 0.03125 0.31277056277056275 0.0
ALB 0.0 0.0 0.0
MMR 0.03125 0.3211111111111111 0.0005299707602339181
TUN 0.020833333333333332 0.3029350104821803 0.0
RUS 0.09375 0.3490338164251208 0.015528309409888351
MEX 0.010416666666666666 0.2955010224948875 0.0
BRA 0.020833333333333332 0.26908752327746743 0.0
GNQ 0.020833333333333332 0.26611418047882135 0.0
USA 0.23958333333333331 0.41522988505747127 0.12234951086924768
SWE 0.0 0.0 0.0
UKR 0.07291666666666666 0.33682983682983686 0.017074195906432745
TON 0.010416666666666666 0.2955010224948875 0.0
CAN 0.010416666666666666 0.2955010224948875 0.0
KOR 0.03125 0.30104166666666665 0.014692982456140351
SGP 0.0 0.0 0.0
POL 0.0 0.0 0.0
ESP 0.020833333333333332 0.3087606837606838 0.0
IRQ 0.11458333333333333 0.3648989898989899 0.022283888747704553
IRL 0.0 0.0 0.0
IRN 0.03125 0.27367424242424243 0.0013383284600389865
SLE 0.041666666666666664 0.3168859649122807 0.006133679916574656
NZL 0.0 0.0 0.0
JPN 0.041666666666666664 0.3168859649122807 0.00044164230019493175
ARE 0.010416666666666666 0.22827804107424962 0.0
ARG 0.0 0.0 0.0
UGA 0.0 0.0 0.0
PNG 0.020833333333333332 0.29917184265010355 0.0
CUB 0.020833333333333332 0.26611418047882135 0.0022843567251461983
