Country Degree Closeness Betweenness
PSE 0.03896103896103896 0.16746411483253587 0.0015379357484620643
EGY 0.025974025974025976 0.12144344205412907 0.011619958988380042
NGA 0.03896103896103896 0.14332514332514332 0.0006509780945871172
USA 0.18181818181818182 0.2565982404692082 0.087558994889822
ISR 0.03896103896103896 0.16746411483253587 0.0015379357484620643
TWN 0.012987012987012988 0.012987012987012988 0.0
DEU 0.07792207792207792 0.20661157024793386 0.007630276991179247
LKA 0.0 0.0 0.0
IDN 0.0 0.0 0.0
BGR 0.0 0.0 0.0
BOL 0.012987012987012988 0.1407884151246983 0.0
CAN 0.012987012987012988 0.15297202797202797 0.0
PAK 0.012987012987012988 0.012987012987012988 0.0
COL 0.05194805194805195 0.1787538304392237 0.022898154477101848
PAN 0.012987012987012988 0.012987012987012988 0.0
PRY 0.0 0.0 0.0
JOR 0.0 0.0 0.0
CRI 0.0 0.0 0.0
BEL 0.012987012987012988 0.14204545454545453 0.0
BIH 0.0 0.0 0.0
LBY 0.012987012987012988 0.09641873278236915 0.0
MYS 0.0 0.0 0.0
MDA 0.025974025974025976 0.14595496246872394 0.0
SOM 0.0 0.0 0.0
ECU 0.012987012987012988 0.1293422025129342 0.0
UZB 0.012987012987012988 0.012987012987012988 0.0
CAF 0.025974025974025976 0.16233766233766234 0.0
CMR 0.012987012987012988 0.13368983957219252 0.0
POL 0.012987012987012988 0.16571969696969696 0.0
KHM 0.012987012987012988 0.012987012987012988 0.0
GEO 0.025974025974025976 0.14595496246872394 0.0
LBN 0.012987012987012988 0.1446280991735537 0.0
SRB 0.0 0.0 0.0
XK 0.0 0.0 0.0
FRA 0.09090909090909091 0.20396270396270397 0.014382547277284122
AUT 0.03896103896103896 0.18498942917547567 0.0
ESP 0.05194805194805195 0.19886363636363635 0.011436871399277416
MRT 0.0 0.0 0.0
IRQ 0.1168831168831169 0.22727272727272727 0.04796976206750645
SLV 0.0 0.0 0.0
AFG 0.0 0.0 0.0
CHL 0.025974025974025976 0.1710654936461388 0.0
GTM 0.0 0.0 0.0
CHN 0.012987012987012988 0.012987012987012988 0.0
UKR 0.1038961038961039 0.20933014354066984 0.03453845653093773
SDN 0.012987012987012988 0.012987012987012988 0.0
AUS 0.0 0.0 0.0
LBR 0.0 0.0 0.0
IRL 0.0 0.0 0.0
CUB 0.0 0.0 0.0
IRN 0.05194805194805195 0.19167579408543264 0.0070745044429254954
SSD 0.012987012987012988 0.012987012987012988 0.0
VEN 0.012987012987012988 0.1293422025129342 0.0
SLE 0.0 0.0 0.0
URY 0.012987012987012988 0.1446280991735537 0.0
THA 0.012987012987012988 0.012987012987012988 0.0
VAT 0.1168831168831169 0.2013808975834292 0.0460412394622921
KEN 0.0 0.0 0.0
BTN 0.012987012987012988 0.012987012987012988 0.0
YEM 0.0 0.0 0.0
NPL 0.0 0.0 0.0
ZAF 0.0 0.0 0.0
NIC 0.0 0.0 0.0
TUR 0.0 0.0 0.0
JPN 0.0 0.0 0.0
ALB 0.012987012987012988 0.1407884151246983 0.0
ITA 0.012987012987012988 0.1407884151246983 0.0
SYR 0.1038961038961039 0.20933014354066984 0.03538391433128276
BRA 0.09090909090909091 0.18716577540106952 0.019159912768935326
ARG 0.025974025974025976 0.13482280431432972 0.0
IND 0.012987012987012988 0.012987012987012988 0.0
GBR 0.03896103896103896 0.16069788797061524 0.02255639097744361
RUS 0.07792207792207792 0.21212121212121213 0.0034461152882205516
PRK 0.012987012987012988 0.012987012987012988 0.0
KOR 0.0 0.0 0.0
MEX 0.06493506493506494 0.18716577540106952 0.017604075122872112
NOR 0.0 0.0 0.0
GHA 0.0 0.0 0.0
