Country Degree Closeness Betweenness
QAT 0.015384615384615385 0.1352493660185968 0.0
EGY 0.015384615384615385 0.1510146295422369 0.0
NGA 0.015384615384615385 0.015384615384615385 0.0
USA 0.3384615384615385 0.3673938002296211 0.2719551282051282
ISR 0.09230769230769231 0.23222060957910018 0.02211538461538462
TWN 0.03076923076923077 0.24864024864024864 0.0
DEU 0.06153846153846154 0.1721355567509414 0.019230769230769232
MEX 0.015384615384615385 0.19536019536019536 0.0
BOL 0.0 0.0 0.0
CAN 0.046153846153846156 0.2237762237762238 0.00985576923076923
PAK 0.015384615384615385 0.015384615384615385 0.0
NER 0.015384615384615385 0.015384615384615385 0.0
COL 0.0 0.0 0.0
JOR 0.015384615384615385 0.1721355567509414 0.0
LBR 0.015384615384615385 0.23222060957910018 0.0
BEL 0.0 0.0 0.0
LBY 0.015384615384615385 0.23222060957910018 0.0
SGP 0.015384615384615385 0.23222060957910018 0.0
HUN 0.0 0.0 0.0
PRK 0.015384615384615385 0.23222060957910018 0.0
CMR 0.0 0.0 0.0
POL 0.015384615384615385 0.23222060957910018 0.0
NLD 0.015384615384615385 0.015384615384615385 0.0
IRQ 0.015384615384615385 0.19382192610539067 0.0
TCD 0.015384615384615385 0.015384615384615385 0.0
MDV 0.03076923076923077 0.23443223443223443 0.0
HKG 0.0 0.0 0.0
SAU 0.015384615384615385 0.23222060957910018 0.0
LBN 0.046153846153846156 0.2140468227424749 0.0022435897435897434
TON 0.0 0.0 0.0
FRA 0.07692307692307693 0.29657089898053757 0.09759615384615385
EST 0.046153846153846156 0.2366863905325444 0.0
CHE 0.0 0.0 0.0
ESP 0.0 0.0 0.0
PNG 0.015384615384615385 0.015384615384615385 0.0
GMB 0.0 0.0 0.0
SWE 0.0 0.0 0.0
AFG 0.015384615384615385 0.23222060957910018 0.0
CHN 0.13846153846153847 0.28293545534924847 0.08453525641025642
UKR 0.046153846153846156 0.17094017094017094 0.018750000000000003
AUS 0.03076923076923077 0.19851116625310175 0.018750000000000003
CUB 0.015384615384615385 0.23222060957910018 0.0
IRN 0.06153846153846154 0.25641025641025644 0.03661858974358974
RUS 0.07692307692307693 0.22582921665490474 0.08461538461538462
VEN 0.03076923076923077 0.24864024864024864 0.0
GIN 0.015384615384615385 0.015384615384615385 0.0
BLR 0.015384615384615385 0.13451029844472467 0.0
VAT 0.015384615384615385 0.015384615384615385 0.0
MOZ 0.0 0.0 0.0
YEM 0.046153846153846156 0.2366863905325444 0.0
JPN 0.03076923076923077 0.2366863905325444 0.018750000000000003
ZAF 0.0 0.0 0.0
NIC 0.03076923076923077 0.24864024864024864 0.0
TUR 0.015384615384615385 0.015384615384615385 0.0
PHL 0.015384615384615385 0.015384615384615385 0.0
OMN 0.046153846153846156 0.2366863905325444 0.0
ITA 0.03076923076923077 0.22792022792022792 0.007131410256410256
SYR 0.07692307692307693 0.23898431665421957 0.020352564102564103
BRA 0.0 0.0 0.0
ARG 0.015384615384615385 0.18233618233618235 0.0
GBR 0.06153846153846154 0.27972027972027974 0.023557692307692304
PSE 0.03076923076923077 0.17967434025828186 0.0
KOR 0.015384615384615385 0.23222060957910018 0.0
MYS 0.0 0.0 0.0
NOR 0.03076923076923077 0.23443223443223443 0.0
GRC 0.03076923076923077 0.16859852476290832 0.0
