Country Degree Closeness Betweenness
EGY 0.0 0.0 0.0
NGA 0.0 0.0 0.0
USA 0.22666666666666668 0.316875 0.1550630630630631
ISR 0.04 0.2069387755102041 0.013693693693693694
SWE 0.02666666666666667 0.1877777777777778 0.001051051051051051
ZWE 0.0 0.0 0.0
BGR 0.0 0.0 0.0
GBR 0.14666666666666667 0.26684210526315794 0.06694894894894896
CAN 0.04 0.19689320388349515 0.0022222222222222222
COG 0.0 0.0 0.0
SLE 0.013333333333333334 0.17789473684210527 0.0
UKR 0.05333333333333334 0.1877777777777778 0.013873873873873874
CRI 0.0 0.0 0.0
FRA 0.013333333333333334 0.1221686746987952 0.0
COL 0.0 0.0 0.0
COD 0.0 0.0 0.0
YEM 0.0 0.0 0.0
LBR 0.013333333333333334 0.1988235294117647 0.0
BEL 0.013333333333333334 0.17789473684210527 0.0
LBY 0.0 0.0 0.0
MEX 0.0 0.0 0.0
HUN 0.0 0.0 0.0
SOM 0.0 0.0 0.0
CMR 0.013333333333333334 0.17186440677966103 0.0
POL 0.02666666666666667 0.18436363636363637 0.0
NLD 0.0 0.0 0.0
GEO 0.0 0.0 0.0
HKG 0.05333333333333334 0.22285714285714286 0.01609609609609609
SAU 0.013333333333333334 0.1988235294117647 0.0
LBN 0.013333333333333334 0.14911764705882352 0.0
SRB 0.013333333333333334 0.18107142857142858 0.0
BFA 0.0 0.0 0.0
EST 0.0 0.0 0.0
CHE 0.013333333333333334 0.1988235294117647 0.0
ESP 0.04 0.1584375 0.013693693693693694
ZMB 0.0 0.0 0.0
IRQ 0.05333333333333334 0.21806451612903227 0.004816816816816816
FJI 0.02666666666666667 0.2069387755102041 0.0
MLI 0.0 0.0 0.0
CHL 0.0 0.0 0.0
CHN 0.10666666666666667 0.2535 0.035597597597597605
DEU 0.04 0.22043478260869565 0.005585585585585587
PAK 0.013333333333333334 0.12675 0.0
AUS 0.08 0.23581395348837209 0.032096096096096094
IRL 0.0 0.0 0.0
GRC 0.013333333333333334 0.17789473684210527 0.0
IRN 0.0 0.0 0.0
RUS 0.14666666666666667 0.27405405405405403 0.07616216216216214
GIN 0.0 0.0 0.0
FIN 0.0 0.0 0.0
URY 0.0 0.0 0.0
VAT 0.013333333333333334 0.1572093023255814 0.0
NZL 0.02666666666666667 0.1572093023255814 0.0
MCO 0.0 0.0 0.0
KEN 0.0 0.0 0.0
ITA 0.013333333333333334 0.17186440677966103 0.0
DNK 0.0 0.0 0.0
AFG 0.04 0.22285714285714286 0.0
PHL 0.013333333333333334 0.18107142857142858 0.0
ZAF 0.02666666666666667 0.18436363636363637 0.0
MDV 0.0 0.0 0.0
TUR 0.06666666666666667 0.21806451612903227 0.03918918918918919
JPN 0.013333333333333334 0.1988235294117647 0.0
HTI 0.0 0.0 0.0
PSE 0.04 0.2069387755102041 0.0030330330330330334
SYR 0.02666666666666667 0.2069387755102041 0.0
ARE 0.04 0.2007920792079208 0.0030390390390390393
TUN 0.0 0.0 0.0
ARG 0.0 0.0 0.0
IND 0.02666666666666667 0.16622950819672133 0.013693693693693694
SSD 0.013333333333333334 0.013333333333333334 0.0
SDN 0.013333333333333334 0.013333333333333334 0.0
BHR 0.013333333333333334 0.17789473684210527 0.0
MYS 0.0 0.0 0.0
BRA 0.0 0.0 0.0
AUT 0.013333333333333334 0.13890410958904112 0.0
