Id,Label,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Degree,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
XK,XK,2.0,6.0,4.006711409395973,148.0,2,0.0,0.0,0,0.0,0,0.0,0,0.0
MHL,MHL,1.0,6.0,3.0604026845637584,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
OMN,OMN,11.0,5.0,2.402684563758389,5.549481074481075,6,0.0054945056,0.0054945056,3,0.005997165820940933,0,0.7,7,0.13945035167295736
GRL,GRL,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
MDG,MDG,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
MDV,MDV,6.0,5.0,2.2684563758389262,3.6492747448629803,6,0.0064102565,0.0064102565,0,0.006839528254120136,0,0.8,12,0.21464939621584544
VNM,VNM,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
MCO,MCO,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
ERI,ERI,2.0,5.0,2.9194630872483223,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
LAO,LAO,1.0,5.0,2.557046979865772,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
NAM,NAM,1.0,5.0,2.6912751677852347,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
GHA,GHA,1.0,5.0,2.6912751677852347,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
ALB,ALB,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
JAM,JAM,2.0,5.0,2.557046979865772,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
AGO,AGO,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
MRT,MRT,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
SVK,SVK,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
SYC,SYC,5.0,5.0,2.7181208053691277,0.1,3,0.0,0.0,0,0.0,0,0.0,0,0.0
LUX,LUX,1.0,6.0,3.3221476510067114,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
NIC,NIC,2.0,5.0,2.4295302013422817,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0.0
WSM,WSM,2.0,5.0,2.557046979865772,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
BRN,BRN,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
FJI,FJI,3.0,5.0,2.7651006711409396,0.464744494635799,2,0.0,0.0,0,0.0,0,0.0,0,0.0
MUS,MUS,1.0,6.0,3.174496644295302,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
CIV,CIV,2.0,6.0,3.865771812080537,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
BFA,BFA,1.0,6.0,3.610738255033557,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
BLZ,BLZ,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
DJI,DJI,1.0,6.0,3.140939597315436,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
FIN,FIN,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
TKM,TKM,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
GRD,GRD,1.0,6.0,3.3288590604026846,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
UZB,UZB,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
BHS,BHS,2.0,6.0,3.442953020134228,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
LSO,LSO,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
MNE,MNE,1.0,7.0,5.0,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0
