Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID
SAU,SAU,30,100.0,2.0,1.76,40.46127939883564,0.011199422,0.011199422,2,0.010783480808986516,0
GBR,GBR,91,814.0,2.0,1.272,768.2859867195294,0.033236995,0.033236995,2,0.03181613307471039,0
DEU,DEU,56,554.0,2.0,1.552,216.41836567915848,0.020592485,0.020592485,1,0.019375881662397426,0
ZAF,ZAF,21,46.0,3.0,1.84,23.53040165103298,0.007947977,0.007947977,2,0.00815045034321057,0
CHN,CHN,81,1312.0,2.0,1.352,600.3591705002881,0.029624278,0.029624278,2,0.02839049662253085,0
JPN,JPN,29,349.0,2.0,1.768,27.181699907966824,0.01083815,0.01083815,2,0.010302957550537324,0
LBY,LBY,25,129.0,3.0,1.808,28.61698804131531,0.009393063,0.009393063,2,0.009210514899421277,0
NGA,NGA,51,268.0,2.0,1.592,163.5952283059478,0.018786127,0.018786127,2,0.017852253293788478,0
MYS,MYS,26,281.0,3.0,1.8,29.787119130213796,0.0097543355,0.0097543355,2,0.009683735542981282,0
UKR,UKR,53,3406.0,2.0,1.576,183.08681764796307,0.019508671,0.019508671,1,0.01864092665183068,0
RUS,RUS,62,3572.0,2.0,1.504,279.81685088821416,0.022760116,0.022760116,1,0.021717584079153307,0
USA,USA,113,3461.0,2.0,1.096,1666.2540943067945,0.04118497,0.04118497,2,0.04022226618978413,0
AFG,AFG,26,262.0,3.0,1.8,23.095012492614273,0.0097543355,0.0097543355,2,0.009403536414015711,0
NOR,NOR,17,40.0,3.0,1.88,14.1636602480586,0.00650289,0.00650289,2,0.006651342374283694,0
TUR,TUR,37,158.0,2.0,1.704,78.55556517412835,0.013728323,0.013728323,4,0.013175258476009656,0
GRC,GRC,17,49.0,2.0,1.864,9.006531618847449,0.00650289,0.00650289,4,0.006604455580316331,0
TUN,TUN,11,38.0,3.0,1.92,1.0994074489196441,0.00433526,0.00433526,2,0.004553623030303775,0
ISL,ISL,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SYR,SYR,56,814.0,2.0,1.552,182.33309572001664,0.020592485,0.020592485,4,0.019197875535378488,0
PAK,PAK,19,127.0,2.0,1.848,13.636543759133657,0.0072254334,0.0072254334,2,0.00717033255857609,0
BRA,BRA,31,73.0,2.0,1.752,47.57425852438176,0.011560693,0.011560693,2,0.011098277755340695,0
