Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID
MYS,MYS,56,892.0,2.0,1.676300578034682,58.29069424443845,0.008976378,0.008976378,3,0.008456983733744155,0
PAK,PAK,46,957.0,2.0,1.7341040462427746,38.33644886734655,0.007401575,0.007401575,3,0.007083050697385679,0
ESP,ESP,105,1058.0,2.0,1.393063583815029,439.2472598587402,0.016692914,0.016692914,3,0.015655869706927332,0
CAF,CAF,27,141.0,3.0,1.8497109826589595,20.21511256886315,0.0044094487,0.0044094487,7,0.004684110073788989,0
IRN,IRN,75,3208.0,2.0,1.5664739884393064,132.6076873810842,0.011968504,0.011968504,3,0.011015373125298147,0
BDI,BDI,19,65.0,3.0,1.8959537572254335,9.281421965494049,0.0031496063,0.0031496063,7,0.003550847497231255,0
CHN,CHN,148,5913.0,2.0,1.1445086705202312,1660.5556763762122,0.023464566,0.023464566,3,0.02359899433935235,0
JPN,JPN,66,1489.0,2.0,1.6184971098265897,141.59940836383265,0.010551181,0.010551181,3,0.010035227846979721,0
USA,USA,156,15368.0,2.0,1.0982658959537572,1801.441564203222,0.024724409,0.024724409,3,0.024547318997205907,0
URY,URY,33,214.0,2.0,1.8092485549132948,20.88458995338119,0.005354331,0.005354331,3,0.005358927427160716,0
SYR,SYR,91,4131.0,2.0,1.4739884393063585,196.3402408682991,0.014488189,0.014488189,0,0.013217912879605546,0
FRA,FRA,127,4633.0,2.0,1.2658959537572254,775.7006670455086,0.02015748,0.02015748,7,0.019129659545167686,0
IRQ,IRQ,73,3195.0,2.0,1.5780346820809248,96.91524420666774,0.011653543,0.011653543,3,0.010641779502200322,0
EGY,EGY,62,1284.0,2.0,1.6416184971098267,47.71558702655179,0.00992126,0.00992126,2,0.009002865412311576,0
UKR,UKR,85,9333.0,2.0,1.5086705202312138,199.226833061426,0.013543307,0.013543307,1,0.012640530922425237,0
RUS,RUS,113,11200.0,2.0,1.346820809248555,592.9933216826618,0.017952755,0.017952755,1,0.017068632912441362,0
ZMB,ZMB,9,28.0,3.0,1.9595375722543353,3.522076522678051,0.0015748031,0.0015748031,3,0.002272341377571841,0
BRA,BRA,73,583.0,2.0,1.5780346820809248,116.41107588376924,0.011653543,0.011653543,3,0.010762181367669547,0
