Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
ISR,ISR,34,1221.0,3.0,1.8461538461538463,333.4192153734491,0.026459144,0.026459144,0,0.024627047780958228,0,0.4053030303030303,214,0.6926289875773823
USA,USA,79,1138.0,3.0,1.5128205128205128,2914.4885101523314,0.051361866,0.051361866,2,0.05101464311602491,0,0.19567307692307692,407,1.0
AUS,AUS,30,155.0,3.0,1.8717948717948718,401.9372558221018,0.021011673,0.021011673,2,0.019680215138246773,0,0.48923076923076925,159,0.5996990264434893
CHN,CHN,58,364.0,3.0,1.6794871794871795,1876.60270533588,0.034241244,0.034241244,2,0.03288965088551454,0,0.3001107419712071,271,0.7946463173547079
THA,THA,6,26.0,4.0,2.3653846153846154,3.6532158263684638,0.005447471,0.005447471,2,0.0058328401073574985,0,0.6,9,0.1503419974042251
TUR,TUR,24,101.0,4.0,1.9935897435897436,264.7118426380629,0.017120622,0.017120622,0,0.016412333611133798,0,0.5142857142857142,108,0.5016917359421501
DZA,DZA,15,28.0,4.0,2.301282051282051,122.89286663900748,0.010894942,0.010894942,1,0.010674539383518578,0,0.5,39,0.2912180996155679
SLE,SLE,15,78.0,4.0,2.121794871794872,104.75962100239445,0.010894942,0.010894942,3,0.010950371292253765,0,0.5384615384615384,42,0.29006468586015116
PSE,PSE,41,1311.0,3.0,1.8012820512820513,628.553349467398,0.030350195,0.030350195,0,0.028224000738393904,0,0.37695590327169276,265,0.7739982779869777
UKR,UKR,39,1210.0,3.0,1.8076923076923077,585.9635377416729,0.023346303,0.023346303,1,0.022055031475741213,0,0.45566502463054187,185,0.6455810780347372
ECU,ECU,10,27.0,3.0,2.2628205128205128,20.72693191299161,0.008560311,0.008560311,2,0.00873337731282147,0,0.6888888888888889,31,0.21702095163965288
IRQ,IRQ,38,692.0,3.0,1.8333333333333333,578.2326879722671,0.024124514,0.024124514,2,0.022470001645209698,0,0.45977011494252873,200,0.6709323896769722
RUS,RUS,56,1338.0,3.0,1.6730769230769231,1589.4306288436735,0.032684825,0.032684825,1,0.031753787108678884,0,0.30853658536585366,253,0.7697034243019419
