Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality,Authority,Hub
BLR,BLR,2,14.0,4.0,2.834437086092715,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
ETH,ETH,6,20.0,3.0,2.0,1.5413419913419915,1,0.006813692745236946,0,0.7333333333333333,11,0.16139807803142917,0.006278027,0.006278027
AUT,AUT,4,6.0,4.0,2.6490066225165565,1.4747474747474747,0,0.0,0,0.0,0,0.0,0.0,0.0
HRV,HRV,2,3.0,5.0,3.4701986754966887,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
VNM,VNM,4,54.0,4.0,2.6556291390728477,0.5833333333333333,0,0.0,0,0.0,0,0.0,0.0,0.0
JOR,JOR,7,43.0,3.0,2.025,1.0083333333333333,3,0.0073522056382118,0,0.7619047619047619,16,0.1695478475666529,0.0071748877,0.0071748877
BGD,BGD,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
BRN,BRN,1,2.0,4.0,2.443708609271523,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
CRI,CRI,2,4.0,4.0,2.4304635761589406,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
LBN,LBN,8,29.0,3.0,1.9875,2.07407124465948,3,0.00817123408946074,0,0.6785714285714286,19,0.18758217516975928,0.008071749,0.008071749
TUN,TUN,2,3.0,5.0,3.052980132450331,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
TWN,TWN,2,6.0,4.0,2.6821192052980134,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
HND,HND,6,10.0,3.0,2.0625,0.976190476190476,2,0.005273146837246996,0,0.6666666666666666,4,0.09286546070611343,0.004484305,0.004484305
JAM,JAM,1,1.0,5.0,2.993377483443709,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
ECU,ECU,9,18.0,3.0,2.25,8.30398139622398,3,0.008665853569349923,0,0.39285714285714285,11,0.11902903049012051,0.008071749,0.008071749
GTM,GTM,4,6.0,4.0,2.403973509933775,0.7323994252873564,0,0.0,0,0.0,0,0.0,0.0,0.0
QAT,QAT,6,6.0,3.0,2.075,0.6575757575757577,3,0.005793834851914703,0,0.6,6,0.1230284578204797,0.005381166,0.005381166
CHE,CHE,10,34.0,3.0,1.9125,1.6283912440295347,0,0.008671403635921227,0,0.6944444444444444,25,0.25693716143606593,0.00896861,0.00896861
IDN,IDN,9,24.0,3.0,1.9625,6.3819398001323995,2,0.009449881425423058,0,0.5555555555555556,20,0.19072795010325527,0.00896861,0.00896861
NIC,NIC,3,4.0,4.0,2.728476821192053,3.259027777777778,0,0.0,0,0.0,0,0.0,0.0,0.0
