Id,Label,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
FIN,FIN,6.0,4.0,2.3055555555555554,13.465551441461724,0.0049822065,0.0049822065,1,0.007734865425986047,0,0.3333333333333333,5,0.14252201532825426
KGZ,KGZ,2.0,4.0,2.4444444444444446,0.0,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
SRB,SRB,6.0,4.0,2.875,0.36111111111111116,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
RWA,RWA,1.0,5.0,3.8402777777777777,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
PNG,PNG,2.0,5.0,3.6458333333333335,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
BDI,BDI,4.0,4.0,2.8472222222222223,143.0,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
CRI,CRI,3.0,4.0,2.5416666666666665,9.855794641375136,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
CPV,CPV,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
TZA,TZA,1.0,4.0,2.6180555555555554,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
SVN,SVN,2.0,5.0,3.0069444444444446,6.155273937532001,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
KAZ,KAZ,4.0,4.0,2.625,0.0,0.002846975,0.002846975,0,0.0,0,0.0,0,0.0
UZB,UZB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
BHS,BHS,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
GRL,GRL,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
SGP,SGP,5.0,4.0,2.2777777777777777,2.4736795067677417,0.0035587188,0.0035587188,0,0.0,0,0.0,0,0.0
MAC,MAC,5.0,4.0,2.611111111111111,0.0,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
AZE,AZE,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
LVA,LVA,3.0,4.0,2.5555555555555554,0.0,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
KWT,KWT,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
DOM,DOM,5.0,4.0,2.4097222222222223,0.0,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
SYC,SYC,13.0,4.0,2.3194444444444446,2.1627307333189676,0.004270463,0.004270463,0,0.006592795781219957,0,0.6,6,0.14059418770056767
ESH,ESH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
ZMB,ZMB,3.0,4.0,2.4583333333333335,0.0,0.0014234876,0.0014234876,0,0.0,0,0.0,0,0.0
NAM,NAM,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
GUY,GUY,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
MCO,MCO,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
LUX,LUX,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
MUS,MUS,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
"CXR ","CXR ",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
GMB,GMB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
AGO,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
NRU,NRU,2.0,5.0,2.951388888888889,0.0,0.0021352314,0.0021352314,0,0.0,0,0.0,0,0.0
