Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
KEN,KEN,6,18.0,5.0,2.303030303030303,136.42106782106782,0.006145742,0.006145742,0,0.007037041691326724,0,0.4666666666666667,7,0.1327651387687853
VNM,VNM,1,1.0,1.0,1.0,0.0,0.0017559263,0.0017559263,9,0.007407407276332375,1,0.0,0,7.19135816343509E-4
TGO,TGO,1,1.0,1.0,1.0,0.0,0.0017559263,0.0017559263,9,0.007407407276332375,1,0.0,0,7.19135816343509E-4
BHS,BHS,0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0,0.0,0,0.0
BEN,BEN,2,4.0,6.0,3.022727272727273,0.9033613445378151,0.0026338894,0.0026338894,5,0.0027841404928258167,0,0.0,0,0.029180808988579332
PAN,PAN,3,5.0,5.0,2.477272727272727,0.5,0.0035118526,0.0035118526,1,0.004002145256764191,0,0.6666666666666666,2,0.07333377634806586
BHR,BHR,3,3.0,5.0,2.477272727272727,0.5,0.0035118526,0.0035118526,1,0.0034404322239403183,0,0.6666666666666666,2,0.08174286067093074
MCO,MCO,0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0,0.0,0,0.0
GTM,GTM,0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0,0.0,0,0.0
HRV,HRV,1,3.0,5.0,2.9242424242424243,0.0,0.0017559263,0.0017559263,0,0.0018601589629931637,0,0.0,0,0.027305643938331896
SRB,SRB,2,3.0,6.0,3.9166666666666665,131.0,0.0026338894,0.0026338894,4,0.00543974064510316,0,0.0,0,0.0032917824257253465
SGP,SGP,6,6.0,5.0,2.2803030303030303,134.92606039007018,0.006145742,0.006145742,2,0.006595428168187943,0,0.4,6,0.1684951634720205
CRI,CRI,0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0,0.0,0,0.0
MWI,MWI,0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0,0.0,0,0.0
NER,NER,1,1.0,5.0,2.8484848484848486,0.0,0.0017559263,0.0017559263,0,0.0019047594131224228,0,0.0,0,0.03407048744657237
ARM,ARM,2,2.0,5.0,2.765151515151515,0.0,0.0026338894,0.0026338894,2,0.002671976960753824,0,1.0,1,0.0473884733672253
NIC,NIC,2,2.0,5.0,2.484848484848485,0.0,0.0026338894,0.0026338894,1,0.0030063055378839456,0,1.0,1,0.06296695222094624
ECU,ECU,2,2.0,6.0,2.878787878787879,1.7649662837162838,0.0026338894,0.0026338894,8,0.002825431854333304,0,0.0,0,0.03088535957922696
LUX,LUX,0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0,0.0,0,0.0
GEO,GEO,3,4.0,5.0,2.371212121212121,0.0,0.0035118526,0.0035118526,0,0.00341475556285471,0,1.0,3,0.1155276980471361
CMR,CMR,3,3.0,5.0,2.393939393939394,0.0,0.0035118526,0.0035118526,1,0.003439405968725008,0,1.0,3,0.10591175056825225
FIN,FIN,4,4.0,5.0,2.4015151515151514,1.807142857142857,0.0043898155,0.0043898155,0,0.004146009635183207,0,0.6666666666666666,4,0.11332255435721275
KAZ,KAZ,1,4.0,5.0,2.8484848484848486,0.0,0.0017559263,0.0017559263,0,0.0019047594131224228,0,0.0,0,0.03407048744657237
LAO,LAO,1,3.0,5.0,2.765151515151515,0.0,0.0017559263,0.0017559263,0,0.0018726255624961713,0,0.0,0,0.03898074702144985
CIV,CIV,0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0,0.0,0,0.0
TCD,TCD,1,1.0,6.0,3.2954545454545454,0.0,0.0017559263,0.0017559263,5,0.00205534467312141,0,0.0,0,0.008624753186092838
NAM,NAM,1,1.0,5.0,2.492424242424242,0.0,0.0017559263,0.0017559263,0,0.0018723748343588873,0,0.0,0,0.05823445743745938
TWN,TWN,3,4.0,5.0,2.507575757575758,72.3284722222222,0.0035118526,0.0035118526,0,0.003964818380813284,0,0.3333333333333333,1,0.08760447663865298
WSM,WSM,1,3.0,5.0,2.492424242424242,0.0,0.0017559263,0.0017559263,0,0.0018723748343588873,0,0.0,0,0.05823445743745938
GMB,GMB,1,1.0,7.0,3.8181818181818183,0.0,0.0017559263,0.0017559263,8,0.002184104600025272,0,0.0,0,0.003976676288914468
MOZ,MOZ,2,2.0,6.0,3.128787878787879,1.5696672608437314,0.0026338894,0.0026338894,6,0.0028567983617825365,0,0.0,0,0.01643011501118548
"CXR ","CXR ",0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0,0.0,0,0.0
PNG,PNG,3,4.0,5.0,2.8863636363636362,1.0138690883051784,0.0035118526,0.0035118526,3,0.0037932058872097154,0,0.6666666666666666,2,0.03923972526000574
SVK,SVK,0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0,0.0,0,0.0
LCA,LCA,0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0,0.0,0,0.0
ALB,ALB,1,1.0,6.0,3.234848484848485,0.0,0.0017559263,0.0017559263,2,0.0019880616366041333,0,0.0,0,0.01203304029383058
TZA,TZA,0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0,0.0,0,0.0
UZB,UZB,3,3.0,5.0,2.8106060606060606,0.16666666666666666,0.0035118526,0.0035118526,0,0.0033141026583022853,0,0.6666666666666666,2,0.06710620285163124
FJI,FJI,0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0,0.0,0,0.0
PRY,PRY,1,1.0,6.0,3.3257575757575757,0.0,0.0017559263,0.0017559263,0,0.002157614922407222,0,0.0,0,0.007601142696963485
TKM,TKM,0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0,0.0,0,0.0
GRD,GRD,1,2.0,6.0,3.2954545454545454,0.0,0.0017559263,0.0017559263,0,0.002108021577356825,0,0.0,0,0.00813104267742309
COD,COD,1,1.0,6.0,3.5606060606060606,0.0,0.0017559263,0.0017559263,5,0.0021879506891372123,0,0.0,0,0.005422736079320847
BRB,BRB,0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0,0.0,0,0.0
AGO,AGO,0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,0,0.0,0,0.0
MLT,MLT,0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0,0.0,0,0.0
VUT,VUT,0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0,0.0,0,0.0
MKD,MKD,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0,0.0,0,0.0
SVN,SVN,0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0,0.0,0,0.0
MNG,MNG,0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0,0.0,0,0.0
MRT,MRT,0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0,0.0,0,0.0
GAB,GAB,1,1.0,5.0,2.8484848484848486,0.0,0.0017559263,0.0017559263,0,0.0019047594131224228,0,0.0,0,0.03407048744657237
