Id,Label,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
LBY,LBY,20.0,4.0,2.4055944055944054,29.60367793612582,0.005961252,0.005961252,3,0.008857036512621843,0,0.19047619047619047,4,0.10499633874237184
NGA,NGA,33.0,4.0,2.034965034965035,558.1438388645158,0.017138598,0.017138598,1,0.015568541231673217,0,0.4666666666666667,56,0.40569180728529936
MYS,MYS,75.0,4.0,2.230769230769231,96.28062587419099,0.008196721,0.008196721,1,0.009826698373994518,0,0.6666666666666666,24,0.22030458739854455
UKR,UKR,1048.0,3.0,1.867132867132867,370.7007137545957,0.026080476,0.026080476,0,0.028221912326210852,0,0.3310344827586207,144,0.6770083016023095
RUS,RUS,1069.0,3.0,1.8251748251748252,820.2879611468856,0.030551415,0.030551415,0,0.034342677244286704,0,0.25555555555555554,161,0.7238731043462598
USA,USA,885.0,3.0,1.5314685314685315,3027.962123672856,0.05514158,0.05514158,1,0.056879667977233116,0,0.16773816481589712,287,1.0
NOR,NOR,13.0,4.0,2.4265734265734267,17.35535124733115,0.0052160956,0.0052160956,1,0.007314108113629818,0,0.26666666666666666,4,0.12338117513801454
CHN,CHN,229.0,3.0,1.7622377622377623,1305.7513669460438,0.035022356,0.035022356,1,0.034561583605653756,0,0.24761904761904763,156,0.7167381641378642
PRK,PRK,83.0,4.0,2.1888111888111887,9.297954633086214,0.008196721,0.008196721,1,0.010377263411552384,0,0.6222222222222222,28,0.2907594306819371
GBR,GBR,172.0,3.0,1.7342657342657342,1197.2331060605393,0.03576751,0.03576751,1,0.03603708841719556,0,0.2574679943100996,181,0.7679767242500471
IRN,IRN,91.0,3.0,2.041958041958042,280.53355941606634,0.015648287,0.015648287,1,0.016775243081871404,0,0.3602941176470588,49,0.3952218518965458
GRC,GRC,13.0,4.0,2.2937062937062938,13.59964464786446,0.0052160956,0.0052160956,0,0.007075189815961483,0,0.4666666666666667,7,0.1714671019171354
DEU,DEU,134.0,3.0,1.881118881118881,599.0551107764237,0.02309985,0.02309985,0,0.026092027417636766,0,0.3190883190883191,112,0.5947280811767152
JPN,JPN,115.0,4.0,2.13986013986014,18.79284343718109,0.009687034,0.009687034,1,0.012178397497187146,0,0.5454545454545454,36,0.34939338001813036
VAT,VAT,71.0,3.0,2.0,151.53943116167963,0.017883755,0.017883755,4,0.02201827206135599,0,0.35968379446640314,91,0.5145785475040879
KOR,KOR,53.0,4.0,2.2867132867132867,1.224833061982431,0.0052160956,0.0052160956,1,0.006829186691967708,0,0.7333333333333333,11,0.2007506028806239
BRA,BRA,23.0,4.0,2.062937062937063,129.26827494226384,0.011922504,0.011922504,1,0.014860388106701343,0,0.4666666666666667,49,0.39668398452115455
ISR,ISR,148.0,4.0,2.2167832167832167,34.22509805886896,0.008941878,0.008941878,2,0.01158963597254691,0,0.38181818181818183,21,0.2752145126585435
PAK,PAK,15.0,4.0,2.2167832167832167,9.382369761525768,0.006706408,0.006706408,1,0.008719421391694335,0,0.6428571428571429,18,0.22012658172132335
AUS,AUS,83.0,4.0,2.062937062937063,323.93078040682957,0.015648287,0.015648287,1,0.019634803948661253,0,0.29239766081871343,50,0.3709955582955918
FRA,FRA,179.0,3.0,1.8041958041958042,1003.234506067643,0.02980626,0.02980626,3,0.03202875853627856,0,0.2518939393939394,133,0.6628254592169669
IND,IND,27.0,4.0,2.167832167832168,36.37297434419727,0.008941878,0.008941878,1,0.01040546616826038,0,0.6,27,0.2724004458986303
FJI,FJI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
CHL,CHL,62.0,4.0,2.125874125874126,119.41402683804088,0.015648287,0.015648287,4,0.018364084797973523,0,0.3508771929824561,60,0.4089989549904819
IDN,IDN,22.0,4.0,2.4335664335664338,49.743496520970844,0.008941878,0.008941878,1,0.011946471885652251,0,0.16363636363636364,9,0.16367903696384084
ITA,ITA,62.0,4.0,2.0489510489510487,288.9453254881457,0.01490313,0.01490313,3,0.014774542863273855,0,0.4380952380952381,46,0.40175618743427277
ESP,ESP,45.0,4.0,1.951048951048951,140.1192711046526,0.017138598,0.017138598,1,0.01878512786609506,0,0.5157894736842106,98,0.5544657164578223
NLD,NLD,18.0,4.0,2.4825174825174825,21.29152105118824,0.006706408,0.006706408,3,0.009005352976865092,0,0.32142857142857145,9,0.16594897214055587
SYR,SYR,162.0,3.0,1.8951048951048952,656.4031553920106,0.022354694,0.022354694,3,0.021989514431987437,0,0.37549407114624506,95,0.551028769830572
IRQ,IRQ,19.0,4.0,2.3566433566433567,14.367277167634667,0.005961252,0.005961252,1,0.008095459428844525,0,0.38095238095238093,8,0.15223677595382867
SAU,SAU,12.0,4.0,2.2237762237762237,61.48365327602142,0.007451565,0.007451565,1,0.010178276277573263,0,0.25,9,0.18876011056544317
EGY,EGY,18.0,4.0,2.2587412587412588,56.78878423777804,0.005961252,0.005961252,1,0.007029794868159804,0,0.6666666666666666,10,0.19389260245525364
SEN,SEN,1.0,5.0,3.3916083916083917,0.0,0.001490313,0.001490313,0,0.0,0,0.0,0,0.0
PSE,PSE,138.0,4.0,2.1538461538461537,51.93013452196704,0.010432191,0.010432191,2,0.013199742001295324,0,0.358974358974359,28,0.31862279190195175
BOL,BOL,50.0,4.0,2.090909090909091,83.6552683545589,0.014157973,0.014157973,4,0.017609574522139168,0,0.40522875816993464,62,0.4385081330756633
DZA,DZA,13.0,4.0,2.3216783216783217,13.261540271322874,0.0052160956,0.0052160956,3,0.0074886858835104975,0,0.5333333333333333,8,0.15478242075440274
BEL,BEL,34.0,3.0,2.06993006993007,271.52402318228366,0.013412816,0.013412816,3,0.017554386437509825,0,0.33088235294117646,45,0.35425754857491315
CZE,CZE,11.0,4.0,2.5244755244755246,23.083111018668298,0.007451565,0.007451565,1,0.008950892366858889,0,0.2857142857142857,8,0.16248005359046883
