Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
UKR,UKR,37,825.0,3.0,1.8206896551724139,336.22857349066805,0.026835043,0.026835043,0,0.02483250196136045,0,0.44507575757575757,235,0.6901709466935001
LBY,LBY,21,91.0,3.0,1.993103448275862,250.6775231142622,0.014996054,0.014996054,1,0.01424705813857131,0,0.5490196078431373,84,0.40809246292082985
CAN,CAN,26,50.0,3.0,1.9448275862068964,235.34231113631617,0.018153118,0.018153118,1,0.017343297696950203,0,0.46320346320346323,107,0.4770342601755342
DEU,DEU,34,283.0,3.0,1.8344827586206895,226.44541807782673,0.02525651,0.02525651,3,0.022948549054486653,0,0.5096774193548387,237,0.6886560801604484
RUS,RUS,40,917.0,3.0,1.806896551724138,710.6197080266229,0.02525651,0.02525651,0,0.023498141269658004,0,0.45161290322580644,210,0.652152605918937
PHL,PHL,9,29.0,3.0,2.206896551724138,5.397632748101381,0.00789266,0.00789266,3,0.008190416238958456,0,0.6666666666666666,24,0.20806189189132038
PSE,PSE,44,1871.0,3.0,1.7655172413793103,339.1060055958899,0.03314917,0.03314917,2,0.030571673671899863,0,0.3670731707317073,301,0.7875070519414458
ISR,ISR,42,1823.0,3.0,1.793103448275862,473.33887970774845,0.03157064,0.03157064,2,0.029796336813208972,0,0.340080971659919,252,0.7257328307015787
EGY,EGY,16,180.0,3.0,2.0965517241379312,32.028466962825895,0.0134175215,0.0134175215,2,0.013166289258612069,0,0.5083333333333333,61,0.32274374749130025
KOR,KOR,7,51.0,3.0,2.213793103448276,1.5873010301718744,0.0063141277,0.0063141277,3,0.006622347493039683,0,0.7619047619047619,16,0.1869107424855896
AFG,AFG,11,41.0,3.0,2.1310344827586207,70.37402176202872,0.00789266,0.00789266,3,0.008640060410326583,0,0.5277777777777778,19,0.21721807814608776
GBR,GBR,41,232.0,3.0,1.7793103448275862,574.1303877553308,0.029992107,0.029992107,1,0.028969001956341466,0,0.3408408408408408,227,0.6844560185445889
USA,USA,84,1093.0,2.0,1.4206896551724137,3387.3871290401553,0.056037884,0.056037884,3,0.056159276546527755,0,0.18592132505175984,449,1.0
BRA,BRA,29,89.0,3.0,1.9310344827586208,340.44021481897346,0.022099448,0.022099448,3,0.02141541515187024,0,0.39886039886039887,140,0.5248617738576977
