Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID
YEM,YEM,12,38.0,3.0,1.9051724137931034,3.534487707281824,0.0055579306,0.0055579306,2,0.005680555034738352,0
IRL,IRL,10,31.0,3.0,1.9224137931034482,1.0035871535871534,0.0047028647,0.0047028647,2,0.004897657786632824,0
HTI,HTI,6,19.0,3.0,2.0086206896551726,1.0180555555555555,0.002992732,0.002992732,0,0.003593443725758828,0
ARE,ARE,14,37.0,3.0,1.9310344827586208,6.227815924011577,0.006412997,0.006412997,2,0.006539964507820116,0
GIN,GIN,9,13.0,3.0,1.9482758620689655,3.8624808587705464,0.0042753313,0.0042753313,0,0.004736902707017665,0
SGP,SGP,10,16.0,3.0,1.9396551724137931,1.7384035746894844,0.0047028647,0.0047028647,2,0.004946880273864046,0
MDA,MDA,8,22.0,3.0,1.9482758620689655,0.3333333333333333,0.003847798,0.003847798,1,0.0043342047075431815,0
AZE,AZE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ECU,ECU,12,25.0,3.0,1.9051724137931034,3.8234909676666637,0.0055579306,0.0055579306,0,0.005811006155646981,0
PER,PER,11,22.0,3.0,1.9224137931034482,1.2335104670843209,0.0051303976,0.0051303976,0,0.0053254635376551035,0
JAM,JAM,5,14.0,3.0,1.9913793103448276,0.0,0.0025651988,0.0025651988,2,0.003049988178364422,0
CZE,CZE,13,43.0,3.0,1.9137931034482758,8.48194414457156,0.005985464,0.005985464,0,0.006239369414493643,0
MMR,MMR,8,24.0,3.0,1.9655172413793103,0.0,0.003847798,0.003847798,2,0.004180956903348114,0
GAB,GAB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BGD,BGD,8,11.0,3.0,1.9482758620689655,0.7751433899789956,0.003847798,0.003847798,2,0.004175937671617988,0
OMN,OMN,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
COG,COG,9,21.0,3.0,1.956896551724138,3.071436659347473,0.0042753313,0.0042753313,2,0.004845500603858329,0
COD,COD,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
PRT,PRT,10,13.0,3.0,1.956896551724138,2.067867317867318,0.0047028647,0.0047028647,2,0.004923906070390453,0
NZL,NZL,14,40.0,3.0,1.896551724137931,6.187928162616141,0.006412997,0.006412997,2,0.006511332303033281,0
BGR,BGR,10,21.0,3.0,1.9655172413793103,1.794105894105894,0.0047028647,0.0047028647,1,0.004963719849683634,0
ROU,ROU,13,38.0,3.0,1.896551724137931,3.601799489397243,0.005985464,0.005985464,1,0.006167268699327643,0
RWA,RWA,17,76.0,2.0,1.853448275862069,18.102409371550273,0.007695596,0.007695596,0,0.0079759811121169,0
POL,POL,22,81.0,2.0,1.8103448275862069,34.23862783720176,0.009833262,0.009833262,1,0.00991848790675231,0
GTM,GTM,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
HKG,HKG,7,25.0,3.0,1.9655172413793103,0.3571428571428571,0.0034202652,0.0034202652,2,0.003907164905771223,0
QAT,QAT,15,49.0,3.0,1.8879310344827587,9.418567059041411,0.0068405303,0.0068405303,2,0.007021001966724936,0
CIV,CIV,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LAO,LAO,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SLV,SLV,11,20.0,3.0,2.336206896551724,8.052884101921972,0.0051303976,0.0051303976,0,0.005699699994434062,0
TCD,TCD,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ESH,ESH,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
FIN,FIN,10,14.0,3.0,1.9310344827586208,1.45515873015873,0.0047028647,0.0047028647,1,0.004960418263290923,0
NRU,NRU,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BDI,BDI,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
KWT,KWT,11,16.0,3.0,1.9224137931034482,4.161925622533664,0.0051303976,0.0051303976,0,0.0054353820287038465,0
AUT,AUT,10,27.0,3.0,1.9224137931034482,0.6776116856999209,0.0047028647,0.0047028647,0,0.004839586043872239,0
GRL,GRL,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LVA,LVA,7,11.0,3.0,1.956896551724138,0.6116059379217273,0.0034202652,0.0034202652,1,0.003884028063077182,0
SWE,SWE,15,35.0,3.0,1.8879310344827587,4.37753070572838,0.0068405303,0.0068405303,1,0.006796824378131306,0
HND,HND,10,14.0,3.0,1.9655172413793103,6.6337742641229305,0.0047028647,0.0047028647,0,0.005081385442549224,0
NIC,NIC,11,19.0,3.0,1.9482758620689655,8.012692259105355,0.0051303976,0.0051303976,0,0.005614488785662029,0
WSM,WSM,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ARM,ARM,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
HRV,HRV,5,10.0,3.0,2.3189655172413794,2.073392826424548,0.0025651988,0.0025651988,4,0.003344982311725474,0
GUY,GUY,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
CYP,CYP,10,14.0,3.0,1.9396551724137931,1.3794011544011544,0.0047028647,0.0047028647,0,0.00494411905483632,0
DOM,DOM,6,10.0,3.0,1.9655172413793103,1.0688983540124513,0.002992732,0.002992732,0,0.0035770120735686348,0
ZWE,ZWE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MDG,MDG,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MLI,MLI,12,28.0,3.0,2.0258620689655173,8.779082704676341,0.0055579306,0.0055579306,0,0.006018951587783249,0
TLS,TLS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SVN,SVN,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SVK,SVK,5,6.0,3.0,2.1206896551724137,0.27692307692307694,0.0025651988,0.0025651988,1,0.003132672040173946,0
AGO,AGO,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TWN,TWN,9,39.0,3.0,1.9482758620689655,9.319226839709662,0.0042753313,0.0042753313,2,0.0047966705499454775,0
NPL,NPL,7,22.0,3.0,2.0,0.9484126984126983,0.0034202652,0.0034202652,2,0.0039143975713405044,0
LBR,LBR,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MNG,MNG,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LTU,LTU,7,11.0,3.0,1.9827586206896552,0.8749084249084249,0.0034202652,0.0034202652,1,0.003924888621486409,0
PRY,PRY,5,5.0,3.0,2.2413793103448274,0.045454545454545456,0.0025651988,0.0025651988,0,0.0030996502348317268,0
CRI,CRI,10,18.0,3.0,1.9396551724137931,5.128615036339421,0.0047028647,0.0047028647,0,0.005169612899829538,0
MHL,MHL,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BWA,BWA,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
DJI,DJI,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BIH,BIH,11,18.0,3.0,1.9137931034482758,5.346739893510815,0.0051303976,0.0051303976,4,0.005404814298755865,0
PNG,PNG,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BEN,BEN,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BHR,BHR,8,16.0,3.0,2.0258620689655173,1.223881673881674,0.003847798,0.003847798,2,0.004262183066792366,0
SLB,SLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BRN,BRN,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MOZ,MOZ,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TGO,TGO,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
GEO,GEO,6,27.0,3.0,1.9655172413793103,0.0,0.002992732,0.002992732,1,0.0035111020779959564,0
XK,XK,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
GNQ,GNQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
JOR,JOR,12,74.0,3.0,1.9051724137931034,2.844055320371109,0.0055579306,0.0055579306,0,0.005669856921580823,0
KAZ,KAZ,7,15.0,3.0,1.956896551724138,0.22916666666666669,0.0034202652,0.0034202652,0,0.00377832636488163,0
MKD,MKD,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
GHA,GHA,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TON,TON,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
"CXR ","CXR ",0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SYC,SYC,9,14.0,3.0,1.9482758620689655,8.651121269517217,0.0042753313,0.0042753313,0,0.004772560992937372,0
FJI,FJI,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
GNB,GNB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MLT,MLT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ALB,ALB,4,5.0,3.0,2.043103448275862,0.09090909090909091,0.0021376656,0.0021376656,0,0.00273710526763528,0
TZA,TZA,5,7.0,3.0,2.1379310344827585,0.47840909090909095,0.0025651988,0.0025651988,2,0.0031907428313922696,0
DMA,DMA,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MAC,MAC,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MWI,MWI,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MUS,MUS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TTO,TTO,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SRB,SRB,6,14.0,3.0,2.2155172413793105,4.3950934431392925,0.002992732,0.002992732,4,0.003768438161732504,0
ZMB,ZMB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
EST,EST,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
NAM,NAM,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LUX,LUX,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BRB,BRB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MCO,MCO,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LCA,LCA,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LIE,LIE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
UZB,UZB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ERI,ERI,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
FLK,FLK,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TKM,TKM,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BHS,BHS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BLR,BLR,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
GMB,GMB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
ATG,ATG,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MRT,MRT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TJK,TJK,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BFA,BFA,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
FSM,FSM,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MNE,MNE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
BTN,BTN,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LSO,LSO,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SWZ,SWZ,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SUR,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
GRD,GRD,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VUT,VUT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
KGZ,KGZ,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
PLW,PLW,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
