Country Degree Closeness Betweenness
DZA 0.018867924528301886 0.13712154453707767 0.0
QAT 0.0 0.0 0.0
EGY 0.0 0.0 0.0
NGA 0.03773584905660377 0.17090511348099535 0.01741654571843251
BEL 0.03773584905660377 0.14558583740973677 0.0
ISR 0.07547169811320754 0.1637840670859539 0.007377842283502661
SWE 0.0 0.0 0.0
UKR 0.07547169811320754 0.2144082332761578 0.019158200290275762
PER 0.0 0.0 0.0
CIV 0.0 0.0 0.0
COG 0.0 0.0 0.0
ETH 0.03773584905660377 0.04245283018867925 0.0
PAK 0.0 0.0 0.0
CAF 0.0 0.0 0.0
JOR 0.03773584905660377 0.1474056603773585 0.0
LBR 0.0 0.0 0.0
USA 0.18867924528301885 0.2509032517061421 0.11664247701983552
LBY 0.018867924528301886 0.033962264150943396 0.0
MYS 0.0 0.0 0.0
SOM 0.0 0.0 0.0
PRK 0.018867924528301886 0.16609088493223492 0.0
CMR 0.018867924528301886 0.12680056806654494 0.0
IRQ 0.05660377358490566 0.1474056603773585 0.001451378809869376
SEN 0.0 0.0 0.0
SAU 0.0 0.0 0.0
LBN 0.03773584905660377 0.1474056603773585 0.0
FRA 0.07547169811320754 0.19987208186760472 0.029511369134010642
MLI 0.018867924528301886 0.1420777449420323 0.0
CHE 0.03773584905660377 0.1593574706782254 0.0028059990324141265
KEN 0.0 0.0 0.0
GMB 0.0 0.0 0.0
AFG 0.0 0.0 0.0
CHN 0.0 0.0 0.0
DEU 0.0 0.0 0.0
GRC 0.0 0.0 0.0
IRN 0.09433962264150943 0.19987208186760472 0.03272859216255442
RUS 0.11320754716981132 0.25635767022149303 0.09177552007740687
BLR 0.018867924528301886 0.14927155481251494 0.0
URY 0.018867924528301886 0.16609088493223492 0.0
VAT 0.0 0.0 0.0
ESH 0.0 0.0 0.0
ZWE 0.0 0.0 0.0
MOZ 0.0 0.0 0.0
BHR 0.0 0.0 0.0
YEM 0.03773584905660377 0.16846361185983827 0.0
ZAF 0.03773584905660377 0.16846361185983827 0.0
TUR 0.03773584905660377 0.17600675865953253 0.0057329462989840355
ITA 0.05660377358490566 0.19987208186760472 0.01451378809869376
SYR 0.09433962264150943 0.19987208186760472 0.033502660861151425
TUN 0.05660377358490566 0.1902008520998174 0.023222060957910014
SSD 0.03773584905660377 0.04245283018867925 0.0
SDN 0.05660377358490566 0.05660377358490566 0.001451378809869376
PSE 0.07547169811320754 0.19987208186760472 0.02215771649733914
CUB 0.018867924528301886 0.16609088493223492 0.0
